,VRSK,"Verisk Analytics, Inc.",185.08,,130.06,42.30%
,ALXN,"Alexion Pharmaceuticals, Inc.",108.72,,75.56,43.89%
,PCAR,PACCAR Inc,86.36,,60.17,43.53%
,HES,Hess Corp.,43.84,,31.05,41.19%
,CF,"CF Industries Holdings, Inc.",33.69,,24,40.38%
,FAST,Fastenal Company,44.33,,31.72,39.75%
,DIS,Walt Disney Co,131.25,,95.01,38.14%
,RF,Regions Financial Corp,12.06,,8.31,45.13%
,UHS,"Universal Health Services, Inc. Class B",116.88,,81.7,43.06%
,BKNG,Booking Holdings Inc,1784.59,,1289.67,38.38%
,NEE,NextEra Energy Inc,281.92,,201.37,40.00%
,EQIX,Equinix Inc,756.04,,542.43,39.38%
,DPZ,"Domino's Pizza, Inc.",388.52,,286.32,35.69%
,MSCI,Msci Inc,342.37,,246.4,38.95%
,LRCX,Lam Research Corporation,305.42,,213.54,43.03%
,ADI,"Analog Devices, Inc.",114.62,,83.21,37.75%
,IT,Gartner Inc,132.56,,92.75,42.92%
,EXR,"Extra Space Storage, Inc.",111.33,,81.64,36.37%
,JCI,Johnson Controls International PLC,42.51,,30.6,38.92%
,ETN,Eaton Corporation PLC,103.18,,75.32,36.99%
,STT,State Street Corp,64.43,,47.72,35.02%
,AMAT,"Applied Materials, Inc.",56.46,,40.53,39.30%
,MDT,Medtronic PLC,106.97,,77.43,38.15%
,PAYC,Paycom Software Inc,272.64,,196.27,38.91%
,LMT,Lockheed Martin Corporation,393.75,,287.94,36.75%
,BR,"Broadridge Financial Solutions, Inc.",136.03,,#N/A,#N/A
,STE,Steris PLC,167.17,,120.5,38.73%
,DLTR,"Dollar Tree, Inc.",88.92,,#N/A,#N/A
,UNH,UnitedHealth Group Inc,308.57,,225.04,37.12%
,MU,"Micron Technology, Inc.",49.03,,34.47,42.24%
,ORCL,Oracle Corporation,59.46,,42.72,39.19%
,HPQ,HP Inc,19.33,,14.46,33.68%
,TRV,Travelers Companies Inc,114.46,,85.1,34.50%
,FIS,Fidelity National Information Servcs Inc,146.23,,108.35,34.96%
,SRE,Sempra Energy,119.15,,88.62,34.45%
,KLAC,KLA Corp,178.08,,129.5,37.51%
,VMC,Vulcan Materials Company,130.34,,95,37.20%
,ICE,Intercontinental Exchange Inc,100.46,,74.13,35.52%
,WRB,W. R. Berkley Corp,63.85,,47.51,34.39%
,YUM,"Yum! Brands, Inc.",92.87,,69.83,32.99%
,V,Visa Inc,204.98,,152.01,34.85%
,TJX,TJX Companies Inc,55.47,,41.05,35.13%
,MMC,"Marsh & McLennan Companies, Inc.",117.8,,87.86,34.08%
,GL,Globe Life Inc,83.23,,61.95,34.35%
,TFX,Teleflex Incorporated,371.88,,282.66,31.56%
,ITW,Illinois Tool Works Inc.,198.22,,149.22,32.84%
,IP,International Paper Co,40.79,,29.72,37.25%
,PAYX,"Paychex, Inc.",77.62,,57.62,34.71%
,PGR,Progressive Corp,96.26,,73,31.86%
,PEG,Public Service Enterprise Group Inc.,52.48,,40.28,30.29%
,XYL,Xylem Inc,84.21,,65.05,29.45%
,GS,Goldman Sachs Group Inc,201.34,,154.66,30.18%
